"id","date","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
31001,"01-Nov-22",34,technician,married,professional.course,no,yes,no,cellular,may,tue,185,2,999,1,failure,-1.8,"92 893",-46.2,"1 344",5099,no
31002,"01-Nov-22",40,technician,married,professional.course,no,yes,no,cellular,may,tue,211,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31003,"01-Nov-22",44,admin.,married,university.degree,no,yes,no,cellular,may,tue,203,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31004,"01-Nov-22",34,admin.,married,high.school,no,no,no,cellular,may,tue,205,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31005,"01-Nov-22",47,management,married,university.degree,no,yes,no,cellular,may,tue,469,2,999,1,failure,-1.8,"92 893",-46.2,"1 344",5099,no
31006,"01-Nov-22",35,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,tue,523,1,999,1,failure,-1.8,"92 893",-46.2,"1 344",5099,no
31007,"01-Nov-22",36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,tue,36,7,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31008,"01-Nov-22",38,technician,married,professional.course,no,no,no,cellular,may,tue,371,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31009,"01-Nov-22",34,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,52,3,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31010,"01-Nov-22",55,self-employed,married,basic.9y,no,yes,yes,cellular,may,tue,475,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31011,"01-Nov-22",39,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,233,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31012,"01-Nov-22",45,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,672,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,yes
31013,"01-Nov-22",46,blue-collar,married,high.school,no,yes,yes,telephone,may,tue,328,3,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31014,"01-Nov-22",37,blue-collar,married,basic.6y,no,no,no,cellular,may,tue,1085,3,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,yes
31015,"01-Nov-22",29,entrepreneur,married,basic.6y,no,no,no,cellular,may,tue,118,3,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31016,"01-Nov-22",31,admin.,married,university.degree,no,no,no,cellular,may,tue,102,5,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31017,"01-Nov-22",31,services,single,high.school,no,no,no,cellular,may,tue,206,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31018,"01-Nov-22",35,blue-collar,divorced,basic.9y,no,no,no,cellular,may,tue,176,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31019,"01-Nov-22",37,technician,married,university.degree,no,yes,no,cellular,may,tue,370,3,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31020,"01-Nov-22",41,blue-collar,married,basic.6y,unknown,no,no,cellular,may,tue,278,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31021,"01-Nov-22",42,admin.,married,high.school,no,yes,no,cellular,may,tue,111,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31022,"01-Nov-22",48,blue-collar,single,basic.4y,no,no,no,cellular,may,tue,275,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31023,"01-Nov-22",41,blue-collar,married,basic.9y,no,yes,yes,cellular,may,tue,320,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31024,"01-Nov-22",37,admin.,married,high.school,no,no,no,cellular,may,tue,305,5,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31025,"01-Nov-22",31,admin.,divorced,university.degree,no,yes,no,telephone,may,tue,259,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31026,"01-Nov-22",36,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,399,2,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31027,"01-Nov-22",26,management,single,university.degree,no,yes,no,cellular,may,tue,165,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31028,"01-Nov-22",27,technician,single,professional.course,unknown,yes,no,cellular,may,tue,126,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31029,"01-Nov-22",36,admin.,single,high.school,no,no,no,cellular,may,tue,189,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31030,"01-Nov-22",46,technician,married,professional.course,no,yes,no,telephone,may,tue,193,1,999,1,failure,-1.8,"92 893",-46.2,"1 344",5099,no
31031,"01-Nov-22",49,admin.,married,high.school,no,no,no,cellular,may,tue,104,1,6,1,success,-1.8,"92 893",-46.2,"1 344",5099,no
31032,"01-Nov-22",38,blue-collar,married,professional.course,no,yes,no,cellular,may,tue,418,3,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31033,"01-Nov-22",33,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,408,2,999,1,failure,-1.8,"92 893",-46.2,"1 344",5099,no
31034,"01-Nov-22",40,services,married,high.school,no,no,no,cellular,may,tue,74,8,999,1,failure,-1.8,"92 893",-46.2,"1 344",5099,no
31035,"01-Nov-22",44,management,divorced,university.degree,no,yes,no,cellular,may,tue,195,1,999,0,nonexistent,-1.8,"92 893",-46.2,"1 344",5099,no
31036,"01-Nov-22",42,technician,divorced,basic.6y,no,yes,no,cellular,may,tue,221,1,999,2,failure,-1.8,"92 893",-46.2,"1 344",5099,no
